username,commits,additions,deletions,changes,number of repos
laulaz,49,464,765,1229,23
alecpm,757,50344,71516,121860,53
pbauer,3994,331867,268552,600419,134
esteele,7732,388545,509594,898139,185
davisagli,3914,116952,135747,252699,175
tisto,6007,356560,270537,627097,137
jensens,5276,2415749,1338638,3754387,159
dokai,20,526,365,891,10
gforcada,3867,434066,323458,757524,182
rnixx,115,8475,2503,10978,24
vincentfretin,966,142483,878354,1020837,83
vipod,58,4047,1609,5656,10
mauritsvanrees,13158,348774,562538,911312,197
thet,5712,5962934,5291456,11254390,122
frapell,411,121318,54407,175725,47
amleczko,23,704,282,986,9
erral,508,518106,265605,783711,50
msom,8,62,45,107,3
gyst,98,3874,1025,4899,14
vsomogyi,4,157,29,186,2
Martronic-SA,1,4,0,4,1
julianhandl,5,13,1,14,2
garbas,2119,653660,2297379,2951039,93
khink,195,6555,2842,9397,34
vangheem,6157,2701845,2432604,5134449,115
href,8,102,72,174,2
faro,13,407,148,555,3
deiferni,31,1416,353,1769,4
regebro,80,8903,4874,13777,17
jone,289,11447,3610,15057,33
rockfruit,7,27,10,37,2
ale-rt,702,91551,14795,106346,84
dependabot[bot],125,2812,1214,4026,15
jmevissen,39,1799,1601,3400,8
hannosch,6099,343569,459124,802693,123
optilude,2673,277418,134234,411652,115
do3cc,460,21261,15204,36465,63
zworkb,2,4,28,32,2
frisi,96,3340,2026,5366,26
balavec,95,44300,75478,119778,9
sunew,125,20608,9445,30053,12
tmog,22,1549,694,2243,14
allusa,17,248,50,298,7
andreesg,5,193440,173755,367195,5
polyester,286,67647,18867,86514,45
jeanferri,1,1,1,2,1
naro,88,5897,3226,9123,35
bosim,68,1987,2091,4078,20
webrooster,1,0,6,6,1
witsch,1349,42186,67394,109580,55
jaroel,478,37899,12276,50175,35
senner,1,1,1,2,1
zopyx,69,1163,985,2148,19
kingel,26,268,200,468,10
cekk,230,27135,11190,38325,21
robbuh,2,4,1,5,1
l34marr,22,2024,357,2381,7
encolpe,366,28978,19337,48315,25
retsu,19,4195,609,4804,6
bloodbare,2502,2293810,1060236,3354046,87
albertcasado,105,22717,9809,32526,20
takanory,8,847,148,995,3
